"","Year","Primary.Type","count","size"
"101",2011,"ASSAULT",20411,0.737677243270671
"102",2011,"BATTERY",60458,1.2695831003663
"103",2011,"BURGLARY",26619,0.842422800734637
"104",2011,"CRIMINAL DAMAGE",37332,0.997642342113059
"105",2011,"DECEPTIVE PRACTICE",12527,0.577906771698076
"106",2011,"MOTOR VEHICLE THEFT",19387,0.718934872370393
"107",2011,"NARCOTICS",38606,1.01452241737918
"108",2011,"OTHER OFFENSE",20188,0.7336364365344
"109",2011,"ROBBERY",13982,0.610546707531201
"110",2011,"THEFT",75143,1.41539777833459
"111",2012,"ASSAULT",19898,0.728348043494722
"112",2012,"BATTERY",59132,1.25558329453342
"113",2012,"BURGLARY",22844,0.780405498128032
"114",2012,"CRIMINAL DAMAGE",35854,0.977694229139518
"115",2012,"DECEPTIVE PRACTICE",13456,0.598952295797671
"116",2012,"MOTOR VEHICLE THEFT",16492,0.663087601896138
"117",2012,"NARCOTICS",35487,0.972677540453298
"118",2012,"OTHER OFFENSE",17478,0.682621734822885
"119",2012,"ROBBERY",13485,0.59959737115512
"120",2012,"THEFT",75456,1.41834255779209
"121",2013,"ASSAULT",17971,0.69218210420721
"122",2013,"BATTERY",54003,1.19989484633253
"123",2013,"BURGLARY",17894,0.690697622655953
"124",2013,"CRIMINAL DAMAGE",30853,0.906949162854692
"125",2013,"DECEPTIVE PRACTICE",13499,0.599908538585198
"126",2013,"MOTOR VEHICLE THEFT",12581,0.579151020404187
"127",2013,"NARCOTICS",34135,0.953968859638426
"128",2013,"OTHER OFFENSE",17987,0.692490168580385
"129",2013,"ROBBERY",11819,0.561338217220008
"130",2013,"THEFT",71522,1.3808740551222
"131",2014,"ASSAULT",16896,0.671160200497263
"132",2014,"BATTERY",49445,1.1481415537667
"133",2014,"BURGLARY",14569,0.623231098998956
"134",2014,"CRIMINAL DAMAGE",27797,0.860861346914267
"135",2014,"DECEPTIVE PRACTICE",15354,0.639801144781984
"136",2014,"MOTOR VEHICLE THEFT",9914,0.514113137648758
"137",2014,"NARCOTICS",28970,0.878837322525235
"138",2014,"OTHER OFFENSE",16968,0.672588709102736
"139",2014,"ROBBERY",9799,0.511122646138835
"140",2014,"THEFT",61536,1.2808517794521
"141",2015,"ASSAULT",17040,0.674014190127658
"142",2015,"BATTERY",48908,1.14188980747502
"143",2015,"BURGLARY",13182,0.592822800075001
"144",2015,"CRIMINAL DAMAGE",28671,0.874290310082926
"145",2015,"DECEPTIVE PRACTICE",15498,0.642794382852133
"146",2015,"MOTOR VEHICLE THEFT",10072,0.518193669621952
"147",2015,"NARCOTICS",23836,0.797169975379222
"148",2015,"OTHER OFFENSE",17536,0.683753422340441
"149",2015,"ROBBERY",9639,0.506932616269934
"150",2015,"THEFT",57304,1.23602345978741
"151",2016,"ASSAULT",18722,0.70649707010971
"152",2016,"BATTERY",50263,1.15759981275676
"153",2016,"BURGLARY",14277,0.616953914961783
"154",2016,"CRIMINAL DAMAGE",31002,0.909136513580838
"155",2016,"DECEPTIVE PRACTICE",17795,0.688784302398993
"156",2016,"MOTOR VEHICLE THEFT",11319,0.549336270415464
"157",2016,"NARCOTICS",12836,0.584990884591608
"158",2016,"OTHER OFFENSE",17131,0.675811538157552
