"","Year","Location.Description","count"
"137",2015,"PARKING LOT/GARAGE(NON.RESID.)",7432
"138",2008,"RESIDENCE PORCH/HALLWAY",7352
"139",2011,"RESIDENCE-GARAGE",7285
"140",2010,"RESIDENCE-GARAGE",7141
"141",2011,"SCHOOL, PUBLIC, BUILDING",6856
"142",2013,"ALLEY",6839
"143",2009,"RESIDENCE PORCH/HALLWAY",6814
"144",2013,"SCHOOL, PUBLIC, BUILDING",6524
"145",2012,"RESIDENCE-GARAGE",6238
"146",2012,"SCHOOL, PUBLIC, BUILDING",6201
"147",2014,"ALLEY",6061
"148",2010,"RESIDENCE PORCH/HALLWAY",6006
"149",2012,"RESIDENCE PORCH/HALLWAY",5879
"150",2011,"RESIDENCE PORCH/HALLWAY",5873
"151",2015,"ALLEY",5607
"152",2013,"RESIDENCE PORCH/HALLWAY",5299
"153",2016,"ALLEY",5285
"154",2014,"SCHOOL, PUBLIC, BUILDING",5245
"155",2016,"RESIDENCE-GARAGE",5190
"156",2013,"RESIDENCE-GARAGE",5163
"157",2014,"RESIDENCE PORCH/HALLWAY",4862
"158",2015,"RESIDENCE PORCH/HALLWAY",4777
"159",2016,"RESIDENCE PORCH/HALLWAY",4541
"160",2015,"RESIDENCE-GARAGE",4485
"161",2014,"RESIDENCE-GARAGE",4441
"162",2015,"SCHOOL, PUBLIC, BUILDING",4164
"163",2017,"SIDEWALK",4085
"164",2016,"SCHOOL, PUBLIC, BUILDING",3737
"165",2017,"OTHER",2508
"166",2017,"PARKING LOT/GARAGE(NON.RESID.)",1925
"167",2017,"ALLEY",1149
"168",2017,"SCHOOL, PUBLIC, BUILDING",1133
"169",2017,"RESIDENCE-GARAGE",1098
"170",2017,"RESIDENCE PORCH/HALLWAY",922
